発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,ハード・メモリ
1991-08-09,-,4,SPT,ハドソン,パワーリーグ4(Vol.42),"￥6,500","￥6,500代",0,1
1991-08-23,-,6,SHT,ハドソン,1941カウンターアタック,"￥9,800","￥10,000代",0,1
1991-08-30,-,2,SHT,パックインビデオ,パワーゲイト,"￥6,200","￥6,000代",0,1
1991-08-30,-,4,SPT,ヒューマン,ファイヤープロレスリング2ndBOUT,"￥6,900","￥7,000代",0,1
1991-09-06,-,1,RAM,NEC-HE,天の声バンク,"￥3,880","￥4,000代",0,1
1991-09-20,-,3,SPT,タイトー,ヒットジアイス,"￥6,800","￥7,000代",0,1
1991-09-20,-,2,SPT,ナムコ,ワールドジョッキー,"￥5,800","￥6,000代",0,1
1991-09-27,-,4,ACT,メサイヤ,どらごんEGG!,"￥6,500","￥6,500代",0,1
1991-09-27,-,5,A-PRG,ハドソン,ニュートピアII(Vol.43),"￥7,200","￥7,000代",0,1
1991-09-27,-,4,ETC,NECアベニュー,森田将棋PC,"￥7,200","￥7,000代",0,1
1991-10-04,-,4,ACT,アトラス,メソポタミア,"￥6,800","￥7,000代",0,1
1991-10-18,-,2,RAC,ナムコ,ワールドサーキット,"￥5,800","￥6,000代",0,1
1991-10-26,-,2,SYS,NEC-HE/ハドソン,スーパーシステムカードVer3.0,"￥9,800","￥10,000代",0,1
1991-11-08,-,4,ETC,フェイス,タイムクルーズⅡ,"￥7,200","￥7,000代",0,1
1991-11-15,-,2,SHT,コナミ,グラディウス,"￥6,000","￥6,000代",0,1
1991-11-15,-,4,SHT,パルソフト（クエスト）,マジカルチェイス,"￥7,800","￥8,000代",0,1
1991-11-22,-,5,SHT,ハドソン,雷電(Vol.44),"￥7,200","￥7,000代",0,1
1991-11-29,-,4,SHT,ナグザット,コリューン,"￥6,800","￥7,000代",0,1
1991-11-29,-,2,SLG,パックインビデオ,スーパーメタルクラッシャー,"￥6,200","￥6,000代",0,1
1991-11-29,-,4,ACT,ニチブツ,ファイティングラン,"￥6,900","￥7,000代",0,1
1991-11-29,-,4,SPT,アスク講談社,モンスタープロレス,"￥6,800","￥7,000代",0,1
1991-11-29,-,2,ETC,ホームデータ,将棋初心者無用,"￥7,300","￥7,500代",0,1
1991-12-06,-,4,ACT,ハドソン,ドラえもんのび太のドラビアンナイト(Vol.46),"￥5,800","￥6,000代",0,1
1991-12-06,-,4,ADV,ナグザット,バブルガムクラッシュ,"￥7,200","￥7,000代",0,1
1991-12-06,-,4,SHT,コナミ,沙羅曼蛇,"￥6,000","￥6,000代",0,1
1991-12-13,-,4,ACT,NEC-HE,ゲンジ通信あげだま,"￥5,800","￥6,000代",0,1
1991-12-13,-,4,RPG,メディアリング,スパイラルウェーブ,"￥6,900","￥7,000代",0,1
1991-12-13,-,4,ACT,NHKエンタープライズ,にこにこぷん,"￥6,500","￥6,500代",0,1
1991-12-13,-,2,SHT,ココナッツジャパン,バリスティックス,"￥6,900","￥7,000代",0,1
1991-12-20,-,5,ETC,ハドソン,スーパー桃太郎電鉄Ⅱ(Vol.45),"￥6,800","￥7,000代",0,1
1991-12-27,-,4,SHT,ナムコ,ドラゴンセイバー,"￥6,800","￥7,000代",0,1
1992-01-04,-,4,SHT,アイマックス,冒険男爵ドン,"￥6,800","￥7,000代",0,1
1992-01-10,-,4,ETC,ナムコ,ちびまる子ちゃんクイズでピーヒャラ,"￥6,800","￥7,000代",0,1
1992-01-17,-,4,ACT,タイトー,ミズバク大冒険,"￥7,400","￥7,500代",0,1
1992-01-24,-,4,ACT,ハドソン,忍者龍剣伝(Vol.47),"￥6,500","￥6,500代",0,1
1992-01-31,-,4,SLG,NHKエンタープライズ,NHK大河ドラマ太平記,"￥6,500","￥6,500代",0,1
1992-01-31,-,4,SPT,トンキンハウス,サイバードッジ,"￥6,800","￥7,000代",0,1
1992-02-21,-,6,SHT,コナミ,パロディウスだ!～神話からお笑いへ～,"￥9,800","￥10,000代",0,1
1992-02-28,-,4,SHT,コナミ,出たな!!ツインビー,"￥6,800","￥7,000代",0,1
