稼働年月日,容量,基盤,ジャンル,メーカー,タイトル,開発元,ジョブカテゴリ,カウント
1996-10-01,AC,モデル2,,SEGA,ウェーブランナー（英語版）,セガ（AM1研）,0,0
1996-11-01,AC,ST-V,,SEGA,マジカル頭脳パワー,セガ（AM1研）,0,0
1996-11-01,AC,モデル3 Step1.5,,SEGA,スカッドレース,セガ（AM2研）,0,0
1996-11-01,AC,モデル2,,SEGA,セガスキー スーパーG（英語版）,セガ（AM1研）,0,0
1996-12-01,AC,ST-V,PZL落ち物,SEGA,ぷよぷよSUN,コンパイル,0,0
1997-01-01,AC,ST-V,PZL落ち物,SEGA,コラムス'97,セガ（AM1研）,0,0
1997-02-01,AC,ST-V,,SEGA,紫炎龍,童,0,0
1997-03-01,AC,モデル2,,SEGA,ザ・ハウス・オブ・ザ・デッド,セガ（AM1研）,0,0
1997-04-01,AC,モデル2,野球,SEGA,ダイナマイトベースボール'97,セガ（AM1研）,0,0
1997-05-01,AC,モデル2,,SEGA,トップスケーター（英語版）,セガ（AM3研）,0,0
1997-06-01,AC,モデル3 Step 1.5,,SEGA,バーチャストライカー2（英語版）,セガ（AM2研）,0,0
1997-07-01,AC,モデル3 Step 1.5,,SEGA,ロスト・ワールド/ジュラシック・パーク,セガ（AM3研）,0,0
1997-09-01,AC,モデル3 Step 1.5,,SEGA,スカッドレース プラス,セガ（AM2研）,0,0
1997-09-01,AC,モデル2,,SEGA,セガ ウォータースキー（英語版）,セガ（AM1研）,0,0
1997-09-01,AC,モデル3 Step 1.0,,SEGA,ル・マン24,セガ（AM3研）,0,0
1997-10-01,AC,モデル3 Step 1.0,FTG,SEGA,バーチャファイター3tb,セガ（AM2研）,0,0
1997-10-01,AC,モデル2,,SEGA,モーターレイド,セガ（AM1研）,0,0
1997-11-01,AC,モデル3 Step 1.0,,SEGA,ゲットバス（英語版）,,0,0
1997-11-01,AC,ST-V,,SEGA,ウィンターヒート,セガ（AM3研）,0,0
1997-11-01,AC,ST-V,PZL落ち物,SEGA,花組対戦コラムス,セガ（CS2研）,0,0
1997-11-01,AC,ST-V,,SEGA,全日本プロレス フィーチャリングバーチャ,セガ（AM1研）,0,0
1997-12-01,AC,モデル3 Step2.0,,SEGA,ハーレーダビッドソン&LAライダーズ（英語版）,,0,0
1997-12-01,AC,モデル2,,SEGA,ビハインド・エネミーラインズ,ロッキード・マーティン,0,0
1997-12-01,AC,ST-V,,SEGA,マルちゃんdeグー!!!,セガ（AM1研）、ウィルリンク,0,0
1998-01-01,AC,モデル3 Step 2.0,,SEGA,スキーチャンプ,セガ（AM1研）,0,0
1998-02-01,AC,モデル3 Step 2.0,RCG,SEGA,セガラリー2,セガ（AM12研）,0,0
1998-02-01,AC,ST-V,,SEGA,対戦タントアール サシっす!!,セガ（AM1研）,0,0
1998-03-01,AC,モデル3 Step 2.0,,SEGA,ファイティングバイパーズ2（英語版）,セガ（AM2研）,0,0
1998-03-01,AC,モデル3 Step 2.0,FTG-3D,SEGA,電脳戦機バーチャロン オラトリオ・タングラム,セガ（AM3研）,0,0
1998-05-01,AC,モデル3 Step 2.1,RCG,SEGA,デイトナUSA2 BATTLE ON THE EDGE,セガ（AM2研）,0,0
1998-05-01,AC,モデル3 Step 2.0,,SEGA,バーチャストライカー2 バージョン98,セガ（AM11研）,0,0
1998-05-01,AC,ST-V,,SEGA,レイディアントシルバーガン,トレジャー,0,0
1998-07-01,AC,モデル2,,SEGA,ダイナマイト刑事2,セガ（AM1研）,0,0
1998-09-01,AC,モデル3 Step 2.1,,SEGA,オーシャンハンター,セガ（AM1研）,0,0
1998-09-01,AC,モデル3 Step 2.1,,SEGA,スパイクアウト,セガ（AM11研）,0,0
1998-09-01,AC,-,,SEGA,つりぼり大会,,0,0
1998-10-01,AC,ST-V,,SEGA,ストレスバスターズ,,0,0
1998-11-01,AC,NAOMI,,SEGA,ザ・ハウス・オブ・ザ・デッド2,セガ（AM1研）,0,0
1998-11-01,AC,モデル3 Step2.1,,SEGA,スターウォーズ・トリロジー・アーケード（英語版）,セガ（AM12研）,0,0
1998-11-01,AC,モデル3 Step 2.1,,SEGA,ダートデビルズ,セガ（AM3研）,0,0
1998-12-01,AC,NAOMI,,SEGA,ダイナマイトベースボール'98,セガ（AM1研）,0,0
