発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,クロスレビュー(評価)
1990-12-14,FC,1M,ACT,サンソフト,グレムリン2-新種誕生-,"￥6,500","￥6,500代",0,-
1990-12-14,FC,1M,ACT,サミー工業,龍牙忍者クルセイダーズ,"￥5,500","￥5,500代",0,-
1990-12-14,FC,1M,ACT,ビック東海,まじかるキッズどろぴー,"￥6,000","￥6,000代",0,-
1990-12-14,FC,1M,ACT,ジャレコ,メタルフレームサイバスター,"￥5,900","￥6,000代",0,-
1990-12-14,FC,2M,ADV,バンプレスト,必殺仕事人のさばる悪のある限り、仕事人の血が騒ぐ,"￥7,600","￥7,500代",0,-
1990-12-14,FC,1M,ACT,メルダック,暴れん坊天狗,"￥6,500","￥6,500代",0,-
1990-12-19,FC,1M,ACT,アスミック,ジャンピンキッドジャックと豆の木ものがたり,"￥5,800","￥6,000代",0,-
1990-12-19,FC,1M,ACT,アイレム,パーマン,"￥5,500","￥5,500代",0,-
1990-12-20,FC,1M,SPT,アイジーエス,バトルスタジアム選抜プロ野球,"￥6,800","￥7,000代",0,-
1990-12-21,FC,1M,SLG,トミー,メカ生命体ゾイド黙示録,"￥6,700","￥6,500代",0,-
1990-12-21,FC,1M,ACT,アテナ,剣の達人ソードマスター,"￥5,900","￥6,000代",0,-
1990-12-21,FC,2M,RPG,ポニーキャニオン,バーズテイル知られざる物語,"￥6,800","￥7,000代",0,-
1990-12-21,FC,1M,SPT,ナムコ,ファミスタ'91,"￥4,900","￥5,000代",0,-
1990-12-21,FC,1M,SLG,データイースト,大怪獣デブラス,"￥6,500","￥6,500代",0,-
1990-12-21,FC,1M,ACT,パックインビデオ,地獄極楽丸,"￥6,200","￥6,000代",0,-
1990-12-22,FC,1M,SLG,バンダイ,SDガンダムガチャポン戦士3英雄戦記,"￥6,800","￥7,000代",0,-
1990-12-22,FC,1M,ACT,シグマ商事,ムサシの冒険,"￥6,500","￥6,500代",0,-
1990-12-26,FC,1M,ACT,HAL研究所,NEWゴーストバスターズ2,"￥5,900","￥6,000代",0,-
1990-12-26,FC,1M,PZL,HAL研究所,アドベンチャーズオブロロⅡ,"￥5,900","￥6,000代",0,-
1990-12-29,FC,1M,TAB,ココナッツジャパン,爆笑！愛の劇場,"￥7,300","￥7,500代",0,-
1991-01-04,FC,2M,RPG,ナムコ,じゅうべえくえすと,"￥7,800","￥8,000代",0,-
1991-01-05,FC,2M,ACT,コナミ,ワイワイワールド2SOS！パセリ城,"￥6,500","￥6,500代",0,-
1991-01-25,FC,1M,ACT,ハドソン,ジャッキーチェン,"￥5,800","￥6,000代",0,-
1991-01-25,FC,1M,TAB,ナツメ,ドラドラドラ幸運を呼ぶゲーム,"￥5,800","￥6,000代",0,-
1991-01-25,FC,1M,ACT,コナミ,夢ペンギン物語,"￥5,800","￥6,000代",0,-
1991-01-30,FC,256K,ACT,アルトロン,ペーパーボーイ,"￥5,500","￥5,500代",0,-
1991-01-31,FC,1M,SPT,ヘクト,ゴルフグランドスラム,"￥9,700","￥9,500代",0,-
1991-02-08,FC,2M,RPG,データイースト,ダークロード,"￥6,800","￥7,000代",0,-
1991-02-08,FC,256K,SPT,アテナ,チャンピオンシップボーリング,"￥4,900","￥5,000代",0,-
1991-02-08,FC,2M,ADV,キングレコード,赤川次郎の幽霊列車,"￥6,800","￥7,000代",0,-
1991-02-15,FC,1M,ACT,エポック社,パラソルヘンべえおとぎの国は大さわぎ！,"￥6,500","￥6,500代",0,-
1991-02-15,FC,1M,TAB,アイマックス,ファミコン将棋竜王戦,"￥6,500","￥6,500代",0,-
1991-02-15,FC,1M,SHT,バップ,マックスウォーリアー～惑星戒厳令～,"￥5,800","￥6,000代",0,-
1991-02-15,FC,1M,SPT,A-WAVE,ミニパット,"￥6,700","￥6,500代",0,-
1991-02-22,FC,2M,TAB,カプコン,井出洋介名人の実践麻雀Ⅱ,"￥8,500","￥8,500代",0,-
1991-02-22,FC,1M,ACT,テクノスジャパン,双截龍ⅢTheRosettaStone,"￥6,200","￥6,000代",0,-
1991-02-22,FC,2M,RPG,ビクター音楽産業,虹のシルクロード～ジグザグ冒険記～,"￥7,500","￥7,500代",0,-
1991-02-26,FC,2M,ACT,バリエ,グランドマスター,"￥6,500","￥6,500代",0,-
1991-02-28,FC,2M,SPT,サンソフト,なんてったってベースボール子ガメカセットOBオールスター編,"￥2,280","￥2,500代",0,-
1991-03-01,FC,1M,RPG,カルチャーブレーン,スーパーチャイニーズ3,"￥6,300","￥6,500代",0,-
1991-03-01,FC,1M,SPT,タイトー,究極ハリキリスタジアムⅢ,"￥6,900","￥7,000代",0,-
1991-03-08,FC,1M,RPG,ポニーキャニオン,AdvancedDungeon＆Dragonsヒーローオブランス,"￥6,800","￥7,000代",0,-
1991-03-08,FC,1M,TAB,ナムコ,ナムコット麻雀Ⅲマージャン天国,"￥4,900","￥5,000代",0,-
1991-03-15,FC,1M,SHT,コナミ,ガンサイト,"￥6,000","￥6,000代",0,-
1991-03-15,FC,1M,SLG,東宝,ふしぎの海のナディア,"￥6,500","￥6,500代",0,-
1991-03-15,FC,4M,SLG,光栄,大航海時代,"￥11,800","￥12,000代",0,-
1991-03-21,FC,2M,RPG,ポニーキャニオン,AdvancedDungeon＆Dragonsヒルズファー,"￥7,800","￥8,000代",0,-
1991-03-21,FC,1M,ETC,アスキー,いただきストリート私のお店によってって,"￥6,800","￥7,000代",0,-
1991-03-21,FC,1M,RPG,ポニーキャニオン,シャドウブレイン,"￥9,800","￥10,000代",0,-
1991-03-21,FC,1M,ACT,バンダイ,まじかる☆タルるートくんFANTASTICWORLD(ファンタスティックワールド),"￥5,800","￥6,000代",0,-
1991-03-22,FC,1M,TAB,タイトー,爆笑！！人生劇場2,"￥5,900","￥6,000代",0,-
1991-03-26,FC,1M,ETC,バンダイ,おえかキッズアンパンマンのひらがなだいすき,"￥6,800","￥7,000代",0,-
1991-03-29,FC,256K,ACT,キャラクターソフト,けろけろけろっぴの大冒険,"￥3,980","￥4,000代",0,-
1991-03-29,FC,1M,ACT,ジャレコ,忍者じゃじゃ丸銀河大作戦,"￥5,800","￥6,000代",0,-
1991-03-29,FC,2M,RPG,東映動画,北斗の拳4七星覇拳伝北斗神拳の彼方へ,"￥6,500","￥6,500代",0,-
1991-04-02,FC,1M,ACT,データイースト,ロボコップ2,"￥6,500","￥6,500代",0,-
1991-04-05,FC,1M,ACT,アトラス,ニューヨークニャンキーズ,"￥6,200","￥6,000代",0,-
1991-04-05,FC,1M,ETC,テクモ,おぼっちゃまくん,"￥6,500","￥6,500代",0,-
1991-04-05,FC,4M,RPG,カプコン,天地を喰らうⅡ諸葛孔明伝,"￥8,500","￥8,500代",0,-
1991-04-12,FC,256K,PZL,徳間書店,ゴルビーのパイプライン大作戦,"￥4,900","￥5,000代",0,-
1991-04-12,FC,1M,SHT,ビスコ,ツインイーグル,"￥5,800","￥6,000代",0,-
1991-04-21,FC,1M,ACT,アテナ,ファミリーブロック,"￥5,500","￥5,500代",0,-
1991-04-25,FC,4M,TAB,ヘクト,麻雀倶楽部永田町-総裁戦-,"￥9,700","￥9,500代",0,-
1991-04-26,FC,1M,ACT,サミー工業,ガンデック(GUN-DEC),"￥6,000","￥6,000代",0,-
1991-04-26,FC,1M,SHT,ホットビィ,オーバーホライゾン,"￥6,800","￥7,000代",0,-
1991-04-26,FC,1M,SPT,タイトー,タイトーバスケットボール,"￥5,900","￥6,000代",0,-
1991-04-26,FC,1M,TAB,セタ,マジックダーツ,"￥7,700","￥7,500代",0,-
1991-04-26,FC,4M,RPG,コナミ,ラグランジュポイント,"￥8,500","￥8,500代",0,-
1991-04-26,FC,1M,ACT,ハドソン,高橋名人の冒険島Ⅱ,"￥5,800","￥6,000代",0,-
1991-04-26,FC,1M,PZL,東映動画,紫禁城,"￥5,300","￥5,500代",0,-
1991-05-03,FC,2M,ACT,タケル,ココロン,"￥6,500","￥6,500代",0,-
1991-05-17,FC,256K,PZL,ホットビィ,パラメデスⅡ,"￥5,500","￥5,500代",0,-
