発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,カウント
1996-05-24,-,-,-,セガ,セガエイジス宿題がタントアール,-,1662,0
1996-05-24,-,-,-,サミー,実戦!パチスロ必勝法!3,-,1663,0
1996-05-24,-,-,-,ビング,メタルブラック,-,1453,0
1996-05-24,-,-,-,メディアクエスト,ライフスケイプ生命40億年はるかな旅,-,1661,0
1996-05-24,-,-,-,やのまん,フェーダリメイクエンブレム・オブ・ジャスティス,-,22,0
1996-05-31,-,-,-,データイースト,ウィザードリィ6＆7コンプリート,-,20,0
1996-05-31,-,-,-,バンダイ,ドラゴンボールZ偉大なるドラゴンボール伝説,-,916,0
1996-05-31,-,-,-,マイクロキャビン,ソード＆ソーサリー,-,21,0
1996-06-07,-,-,-,タイトー,ダライアス2,-,1454,0
1996-06-07,-,-,-,テクノソフト,ハイパーリヴァーシオン,-,917,0
1996-06-07,-,-,-,マルチソフト,デフコン5,-,1455,0
1996-06-14,-,-,-,アスク講談社,ビッグ一撃!パチスロ大攻略ユニバーサル・ミュージアム,-,1664,0
1996-06-14,-,-,-,イマジニア,犯行写真縛られた少女たちの見たモノは？,-,1325,0
1996-06-14,-,-,-,ギャガ,疾風魔法大作戦,-,1456,0
1996-06-14,-,-,-,ビング,ナイトストライカーS,-,1457,0
1996-06-14,-,-,-,翔泳社/BMGビクター,痛快!!スロット・シューティング,-,1458,0
1996-06-28,-,-,-,セガ,月花霧幻譚TORICO,-,1326,0
1996-06-28,-,-,-,NECインターチャネル,誕生Sデビュー,-,1168,0
1996-06-28,-,-,-,SNK,餓狼伝説3遥かなる闘い,-,918,0
1996-06-28,-,-,-,アクレイムジャパン,ライズオブザロボット2,-,919,0
1996-06-28,-,-,-,アトラス,ストライカーズ1945,-,1459,0
1996-06-28,-,-,-,カプコン,井出洋介名人の新実戦麻雀,-,1573,0
1996-06-28,-,-,-,ソネット,ザ・メイキング・オブ・ナイトゥルース,-,1665,0
1996-06-28,-,-,-,バンダイビジュアル,必殺!,-,920,0
1996-06-28,-,-,-,メトロ,大牌砦,-,1666,0
1996-06-28,-,-,-,ユーメディア,踝兄弟劇場第一巻麻雀篇,-,1574,0
1996-07-05,34,-,ACT,セガ,ナイツNiGHTS,-,921,0
1996-07-05,-,-,-,BMGビクター,一発逆転ギャンブルキングへの道,-,1667,0
1996-07-05,-,-,-,ゼネラル・エンタテイメント,ゲームウェア第2号,-,1668,0
1996-07-05,-,-,-,メディアクエスト,ソニックウィングススペシャル,-,1460,0
1996-07-12,32,-,SPT,セガ,デカスリート陸上十種競技,-,1098,0
1996-07-12,-,-,-,オープンブック9003,アクアゾーンデスクトップライフ,-,1670,0
1996-07-12,30,-,RAC,ソフトバンク,ワイプアウト,-,1050,0
1996-07-12,-,-,-,パック・イン・ビデオ,ピンボールグラフィティ,-,1671,0
1996-07-12,-,-,-,メディアクエスト,デススロットル隔絶都市からの脱出,-,922,0
1996-07-12,-,-,-,増田屋コーポレーション,アクアワールド海美物語,-,1672,0
1996-07-19,-,-,-,セガ,グレイテストナイン'96,-,1099,0
1996-07-19,-,-,-,イマジニア,昇龍三國演義,-,1169,0
1996-07-19,31,-,SLG,コナミ,ときめきメモリアルforeverwithyou,-,1170,0
1996-07-19,-,-,-,ハドソン,サターンボンバーマン,-,923,0
1996-07-19,-,-,-,マイクロネット,麻雀狂時代セブアイランド'96,-,1575,0
1996-07-26,31,-,FTG,セガ,バーチャファイターキッズ,-,924,0
1996-07-26,-,-,-,サダソフト,プラドルDISCVol.1木下優,-,1673,0
1996-07-26,-,-,-,アスキー,時空探偵DD幻のローレライ,-,1327,0
1996-07-26,-,-,-,エレクトロニック・アーツ,ロードラッシュ,-,1051,0
1996-07-26,-,-,-,タイトー,パズルボブル2X,-,1674,0
1996-08-02,-,-,-,BMGビクター,激烈パチンカーズ,-,1676,0
1996-08-02,-,-,-,アクレイムジャパン,フランク・トーマスビッグ・ハートベースボール,-,1100,0
1996-08-02,-,-,-,やのまん,ボディスペシャル264GIRLSINMOTIONPUZZLEVOL.2,-,1677,0
1996-08-09,-,-,-,セガ,セガエイジススペースハリアー,-,1461,0
1996-08-09,-,-,-,BMGビクター,マジック・ジョンソンとカリーム・アブドゥール・ジャバーのスラムジャム'96,-,1101,0
1996-08-09,-,-,-,NECインターチャネル,同級生if,-,1171,0
1996-08-09,-,-,-,SNK,ワールドヒーローズパーフェクト,-,925,0
1996-08-09,-,-,-,アイマックス,サイバードール,-,24,0
1996-08-09,-,-,-,アクレイムジャパン,WWFレッスルマニア・ジ・アーケードゲーム,-,926,0
1996-08-09,-,-,-,エコール,デスクリムゾン,-,1462,0
1996-08-09,-,-,-,サンソフト,アルバートオデッセイ外伝LEGENDOFELDEAN,-,25,0
1996-08-09,-,-,-,スカイ・シンク・システム,新型くるりんPA!,-,1675,0
1996-08-09,-,-,-,ソネット,ナイトゥルース#01闇の扉,-,1328,0
1996-08-09,-,-,-,タイトー,タイトーチェイスH.Q.プラスS.C.I.,-,927,0
1996-08-09,-,-,-,パイオニアLDC,神秘の世界エルハザード,-,1329,0
1996-08-09,-,-,-,ビック東海,プレイボーイカラオケコレクションVol.1,-,1678,0
1996-08-09,-,-,-,ビック東海,プレイボーイカラオケコレクションVol.2,-,1679,0
1996-08-09,-,-,-,童,妖艶電視麻雀遊戯ギャルジャン,-,1576,0
1996-08-09,-,-,-,徳間書店,クロックワークス,-,1680,0
1996-08-23,-,-,-,イマジニア,3Dレミングス,-,1681,0
1996-08-23,-,-,-,ナグザット,今江克隆監修ジャパンスーパーバスクラシック'96,-,1102,0
1996-08-23,-,-,-,ナグザット,駿才データ＆シミュレーションステーブル,-,1682,0
1996-08-23,-,-,-,ナグザット,本格プロ麻雀徹萬スペシャル,-,1577,0
1996-08-23,-,-,-,バンプレスト,特捜機動隊ジェイスワット,-,1463,0
1996-08-23,-,-,-,ビクター,トーナメント・リーダー,-,1103,0
1996-08-30,37,-,FTG,セガ,ファイティングバイパーズ,-,928,0
1996-08-30,-,-,-,サダソフト,プラドルDISCVol.2内山美紀,-,1683,0
1996-08-30,-,-,-,アクレイムジャパン,ストライカー'96,-,1104,0
1996-08-30,-,-,-,アクレイムジャパン,イエロー・ブリック・ロード,-,1330,0
1996-08-30,-,-,-,アクレイムジャパン,エイリアントリロジー,-,1464,0
1996-08-30,-,-,-,カプコン,アーサーとアスタロトの謎魔界村インクレティブ・トゥーンズ,-,1684,0
1996-08-30,-,-,-,クライマックス,ダークセイバー,-,26,0
